Inspection ID;Inspection Group;Inspection Name;Inspection Language;Inspection Type;Absolute Time spent on Inspection, s;Percent of Time spent on Inspection;Problems Count;Times Inspection was Performed
ReflectionForUnavailableAnnotation;Java/Probable bugs;Reflective access to a source-only annotation;JAVA;LOCAL;0.00;0.00%;0;4
ReplaceOnLiteralHasNoEffect;Java/Verbose or redundant code constructs;Replacement operation has no effect;JAVA;LOCAL;0.00;0.00%;0;4
InstantiatingObjectToGetClassObject;Java/Performance;Instantiating object to get 'Class' object;JAVA;LOCAL;0.00;0.00%;0;4
ShiftOutOfRange;Java/Bitwise operation issues;Shift operation by inappropriate constant;JAVA;LOCAL;0.00;0.00%;0;4
UseNamedGetter;Kotlin/Other problems;Use named getter;JAVA;LOCAL;0.00;0.00%;0;4
ProtectedMemberInFinalClass;Java/Declaration redundancy;'protected' member in 'final' class;JAVA;LOCAL;0.00;0.00%;0;4
IterableUsedAsVararg;Java/Probable bugs;Iterable is used as vararg;JAVA;LOCAL;0.00;0.00%;0;4
DanglingJavadoc;Java/Javadoc;Dangling Javadoc comment;JAVA;LOCAL;0.00;0.00%;0;4
UnreachableCatch;Java/Verbose or redundant code constructs;Unreachable catch section;JAVA;LOCAL;0.00;0.00%;0;4
UnusedLabel;Java/Declaration redundancy;Unused label;JAVA;LOCAL;0.00;0.00%;0;4
UnnecessaryInitCause;Java/Error handling;Unnecessary call to 'Throwable.initCause()';JAVA;LOCAL;0.00;0.00%;0;4
ComparisonOfShortAndChar;Java/Numeric issues;Comparison of 'short' and 'char' values;JAVA;LOCAL;0.00;0.00%;0;4
OptionalUsedAsFieldOrParameterType;Java/Abstraction issues;'Optional' used as field or parameter type;JAVA;LOCAL;0.00;0.00%;0;4
NewObjectEquality;Java/Probable bugs;New object is compared using '==';JAVA;LOCAL;0.00;0.00%;0;4
RedundantCompareCall;Java/Verbose or redundant code constructs;Redundant 'compare()' method call;JAVA;LOCAL;0.00;0.00%;0;4
ConstantForZeroLengthArrayAllocation;Java/Memory;Unnecessary zero length array usage;JAVA;LOCAL;0.00;0.00%;0;4
CallToThreadRun;JVM languages;Call to 'Thread.run()';UAST;LOCAL;0.00;0.00%;0;4
JavaReflectionInvocation;Java/Reflective access;Reflective invocation arguments mismatch;JAVA;LOCAL;0.00;0.00%;0;4
UnnecessaryBreak;Java/Verbose or redundant code constructs;Unnecessary 'break' statement;JAVA;LOCAL;0.00;0.00%;0;4
CaughtExceptionImmediatelyRethrown;Java/Error handling;Caught exception is immediately rethrown;JAVA;LOCAL;0.00;0.00%;0;4
InstantiationOfUtilityClass;Java/Probable bugs;Instantiation of utility class;JAVA;LOCAL;0.00;0.00%;0;4
UnpredictableBigDecimalConstructorCall;Java/Numeric issues;Unpredictable 'BigDecimal' constructor call;JAVA;LOCAL;0.00;0.00%;0;4
UnnecessaryTemporaryOnConversionToString;Java/Performance;Unnecessary temporary object in conversion to 'String';JAVA;LOCAL;0.00;0.00%;0;4
ArrayHashCode;Java/Probable bugs;'hashCode()' called on array;JAVA;LOCAL;0.00;0.00%;0;4
ArraysAsListWithZeroOrOneArgument;Java/Performance;Call to 'Arrays.asList()' with too few arguments;JAVA;LOCAL;0.00;0.00%;0;4
TypeParameterExplicitlyExtendsObject;Java/Code style issues;Type parameter explicitly extends 'Object';JAVA;LOCAL;0.00;0.00%;0;4
IntegerDivisionInFloatingPointContext;Java/Numeric issues;Integer division in floating-point context;JAVA;LOCAL;0.00;0.00%;0;4
NewStringBufferWithCharArgument;Java/Probable bugs;StringBuilder constructor call with 'char' argument;JAVA;LOCAL;0.00;0.00%;0;4
StringEquality;Java/Probable bugs;String comparison using '==', instead of 'equals()';JAVA;LOCAL;0.00;0.00%;0;4
StringConcatenationInFormatCall;Java/Probable bugs;String concatenation as argument to 'format()' call;JAVA;LOCAL;0.00;0.00%;0;4
ConditionalBreakInInfiniteLoop;Java/Control flow issues;Conditional break inside loop;JAVA;LOCAL;0.00;0.00%;0;4
ClassGetClass;Java/Probable bugs;Suspicious 'Class.getClass()' call;JAVA;LOCAL;0.00;0.00%;0;4
RedundantClassCall;Java/Verbose or redundant code constructs;Redundant 'isInstance()' or 'cast()' call;JAVA;LOCAL;0.00;0.00%;0;4
DuplicatedDataProviderNames;Java/TestNG;Duplicated data provider names;JAVA;LOCAL;0.00;0.00%;0;4
UnnecessaryStringEscape;Java/Verbose or redundant code constructs;Unnecessarily escaped character;JAVA;LOCAL;0.00;0.00%;0;4
UnnecessaryLabelOnBreakStatement;Java/Verbose or redundant code constructs;Unnecessary label on 'break' statement;JAVA;LOCAL;0.00;0.00%;0;4
UnnecessaryLabelOnContinueStatement;Java/Verbose or redundant code constructs;Unnecessary label on 'continue' statement;JAVA;LOCAL;0.00;0.00%;0;4
ManualArrayCopy;Java/Performance;Manual array copy;JAVA;LOCAL;0.00;0.00%;0;4
NonFinalFieldInEnum;Java/Class structure;Non-final field in 'enum';JAVA;LOCAL;0.00;0.00%;0;4
EmptySynchronizedStatement;Java/Threading issues;Empty 'synchronized' statement;JAVA;LOCAL;0.00;0.00%;0;4
SuspiciousListRemoveInLoop;Java/Probable bugs;Suspicious 'List.remove()' in loop;JAVA;LOCAL;0.00;0.00%;0;4
TrivialFunctionalExpressionUsage;Java/Declaration redundancy;Trivial usage of functional expression;JAVA;LOCAL;0.00;0.00%;0;4
JavadocLinkAsPlainText;Java/Javadoc;Link specified as plain text;JAVA;LOCAL;0.00;0.00%;0;4
WhileCanBeDoWhile;Java/Control flow issues;'while' can be replaced with 'do while';JAVA;LOCAL;0.00;0.00%;0;4
UrlHashCode;JVM languages;Call to 'equals()' or 'hashCode()' on 'URL' object;UAST;LOCAL;0.00;0.00%;0;4
DefaultAnnotationParam;Java/Declaration redundancy;Default annotation parameter value;JAVA;LOCAL;0.00;0.00%;0;4
WhileLoopSpinsOnField;Java/Threading issues;'while' loop spins on field;JAVA;LOCAL;0.00;0.00%;0;4
ThrowFromFinallyBlock;Java/Error handling;'throw' inside 'finally' block;JAVA;LOCAL;0.00;0.00%;0;4
finally;Java/Error handling;'finally' block which can not complete normally;JAVA;LOCAL;0.00;0.00%;0;4
BooleanConstructorCall;Java/Performance;Boolean constructor call;JAVA;LOCAL;0.00;0.00%;0;4
CallToSystemRunFinalizersOnExit;Java/Threading issues;Call to 'System.runFinalizersOnExit()';JAVA;LOCAL;0.00;0.00%;0;4
InfiniteLoopStatement;Java/Control flow issues;Infinite loop statement;JAVA;LOCAL;0.00;0.00%;0;4
