# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1781083788946000000,1781083848958000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1781083788946000000,1781083848958000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1781083788946000000,1781083848958000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1781083788946000000,1781083848958000000,0
FlushQueue.waitingTimeMaxNs,1781083788946000000,1781083848958000000,281018367
NonBlockingReadAction.failedExecutionsCount,1781083788946000000,1781083848958000000,1
AWTEventQueue.eventsDispatched,1781083788946000000,1781083848958000000,592
FlushQueue.queueSizeMax,1781083788946000000,1781083848958000000,23
WriteAction.executionsCount,1781083788946000000,1781083848958000000,26
ReadAction.executionsCount,1781083788946000000,1781083848958000000,270259
AWTEventQueue.dispatchTimeTotalNS,1781083788946000000,1781083848958000000,999768701
NonBlockingReadAction.finalizedExecutionsCount,1781083788946000000,1781083848958000000,50
FlushQueue.waitingTimeAvgNs,1781083788946000000,1781083848958000000,6219961.853427896
NonBlockingReadAction.finalizedExecutionTimeUs,1781083788946000000,1781083848958000000,264644
AWTEventQueue.dispatchTimeAvgNs,1781083788946000000,1781083848958000000,1687894.2972972973
FlushQueue.executionTimeAvgNs,1781083788946000000,1781083848958000000,1049254.4562647755
AWTEventQueue.dispatchTimeMaxNs,1781083788946000000,1781083848958000000,285212671
NonBlockingReadAction.failedExecutionTimeUs,1781083788946000000,1781083848958000000,2114
FlushQueue.executionTimeMaxNs,1781083788946000000,1781083848958000000,285212671
FlushQueue.waitingTime90PNs,1781083788946000000,1781083848958000000,3309567
FlushQueue.queueSize90P,1781083788946000000,1781083848958000000,13
FlushQueue.queueSizeAvg,1781083788946000000,1781083848958000000,5.360520094562648
AWTEventQueue.dispatchTime90PNs,1781083788946000000,1781083848958000000,761855
FlushQueue.executionTime90PNs,1781083788946000000,1781083848958000000,182271
FlushQueue.tasksExecuted,1781083788946000000,1781083848958000000,846
JVM.GC.collectionTimesMs,1781083788946000000,1781083848958000000,343
JVM.maxHeapBytes,1781083788946000000,1781083848958000000,7293894656
JVM.committedHeapBytes,1781083788946000000,1781083848958000000,1174405120
JVM.newThreadsCount,1781083788946000000,1781083848958000000,401
JVM.totalSafepointCount,1781083788946000000,1781083848958000000,108
MEM.ramPlusSwapMinusFileMappingsBytes,1781083788946000000,1781083848958000000,2007158784
JVM.totalCpuTimeMs,1781083788946000000,1781083848958000000,94890
JVM.totalBytesAllocated,1781083788946000000,1781083848958000000,9901018840
JVM.maxThreadCount,1781083788946000000,1781083848958000000,164
MEM.ramBytes,1781083788946000000,1781083848958000000,2671595520
JVM.threadCount,1781083788946000000,1781083848958000000,133
JVM.totalDirectByteBuffersBytes,1781083788946000000,1781083848958000000,359661570
JVM.totalTimeAtSafepointsMs,1781083788946000000,1781083848958000000,390
MEM.fileMappingsRamBytes,1781083788946000000,1781083848958000000,664436736
MEM.ramMinusFileMappingsBytes,1781083788946000000,1781083848958000000,2007158784
JVM.totalTimeToSafepointsMs,1781083788946000000,1781083848958000000,75
JVM.usedHeapBytes,1781083788946000000,1781083848958000000,441118760
JVM.GC.collections,1781083788946000000,1781083848958000000,91
OS.loadAverage,1781083788946000000,1781083848958000000,4.9033203125
JVM.usedNativeBytes,1781083788946000000,1781083848958000000,327951104
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1781083788946000000,1781083848958000000,3
workspaceModel.workspaceFileIndexData.instances.count,1781083788946000000,1781083848958000000,1
workspaceModel.loading.total.ms,1781083788946000000,1781083848958000000,21
workspaceModel.updates.ms,1781083788946000000,1781083848958000000,203
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1781083788946000000,1781083848958000000,0
workspaceModel.pre.handlers.ms,1781083788946000000,1781083848958000000,0
workspaceModel.updates.precise.ms,1781083788946000000,1781083848958000000,4
workspaceModel.updates.count,1781083788946000000,1781083848958000000,5
workspaceModel.cachedValue.clear.count,1781083788946000000,1781083848958000000,2
workspaceModel.non.incremental.contributors.exclude.roots.computation.time.ms,1781083788946000000,1781083848958000000,1
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1781083788946000000,1781083848958000000,20
workspaceModel.workspaceFileIndexData.getPackageName.ms,1781083788946000000,1781083848958000000,0
workspaceModel.cachedValue.total.get.count,1781083788946000000,1781083848958000000,221
workspaceModel.workspaceFileIndexData.processFileSets.ms,1781083788946000000,1781083848958000000,0
workspaceModel.cachedValueWithParameters.clear.count,1781083788946000000,1781083848958000000,0
